task,source,query,method,total_query_steps,reusable_prefix_length,reuse_ratio,partial_reuse_steps,partial_reuse_ratio,max_reuse_depth,avg_reuse_depth
stripe-clone,stripe-clone-20260901-183422-0d3154f5,stripe-clone-20260901-183418-991e5ad0,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183011,vliw-kernel-optimization-20260901-183459-b793d37f,ours_improved,4,2,0.5,2,0.5,1,1
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183011,vliw-kernel-optimization-20260901-183459-b793d37f,full_workspace_hash,4,2,0.5,2,0.5,2,1.5
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183011,vliw-kernel-optimization-20260901-183459-b793d37f,exact_history,4,0,0.0,0,0.0,0,0.0
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183011,vliw-kernel-optimization-20260901-183459-b793d37f,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183011,vliw-kernel-optimization-20260901-183540-74b9e1cb,ours_improved,4,2,0.5,2,0.5,1,1
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183011,vliw-kernel-optimization-20260901-183540-74b9e1cb,full_workspace_hash,4,2,0.5,2,0.5,2,1.5
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183011,vliw-kernel-optimization-20260901-183540-74b9e1cb,exact_history,4,0,0.0,0,0.0,0,0.0
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183011,vliw-kernel-optimization-20260901-183540-74b9e1cb,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183459-b793d37f,vliw-kernel-optimization-20260901-183011,ours_improved,6,6,1.0,6,1.0,1,1
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183459-b793d37f,vliw-kernel-optimization-20260901-183011,full_workspace_hash,6,6,1.0,6,1.0,6,3.5
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183459-b793d37f,vliw-kernel-optimization-20260901-183011,exact_history,6,0,0.0,0,0.0,0,0.0
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183459-b793d37f,vliw-kernel-optimization-20260901-183011,tvcache_tcg,6,0,0.0,0,0.0,0,0.0
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183459-b793d37f,vliw-kernel-optimization-20260901-183540-74b9e1cb,ours_improved,4,2,0.5,2,0.5,1,1
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183459-b793d37f,vliw-kernel-optimization-20260901-183540-74b9e1cb,full_workspace_hash,4,2,0.5,2,0.5,2,1.5
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183459-b793d37f,vliw-kernel-optimization-20260901-183540-74b9e1cb,exact_history,4,0,0.0,0,0.0,0,0.0
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183459-b793d37f,vliw-kernel-optimization-20260901-183540-74b9e1cb,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183540-74b9e1cb,vliw-kernel-optimization-20260901-183011,ours_improved,6,6,1.0,6,1.0,1,1
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183540-74b9e1cb,vliw-kernel-optimization-20260901-183011,full_workspace_hash,6,6,1.0,6,1.0,6,3.5
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183540-74b9e1cb,vliw-kernel-optimization-20260901-183011,exact_history,6,0,0.0,0,0.0,0,0.0
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183540-74b9e1cb,vliw-kernel-optimization-20260901-183011,tvcache_tcg,6,0,0.0,0,0.0,0,0.0
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183540-74b9e1cb,vliw-kernel-optimization-20260901-183459-b793d37f,ours_improved,4,2,0.5,2,0.5,1,1
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183540-74b9e1cb,vliw-kernel-optimization-20260901-183459-b793d37f,full_workspace_hash,4,2,0.5,2,0.5,2,1.5
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183540-74b9e1cb,vliw-kernel-optimization-20260901-183459-b793d37f,exact_history,4,0,0.0,0,0.0,0,0.0
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183540-74b9e1cb,vliw-kernel-optimization-20260901-183459-b793d37f,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
wasm-simd,wasm-simd-20260901-182909,wasm-simd-20260901-183348-fcb6497c,ours_improved,4,1,0.25,1,0.25,1,1
wasm-simd,wasm-simd-20260901-182909,wasm-simd-20260901-183348-fcb6497c,full_workspace_hash,4,4,1.0,4,1.0,4,2.5
wasm-simd,wasm-simd-20260901-182909,wasm-simd-20260901-183348-fcb6497c,exact_history,4,0,0.0,0,0.0,0,0.0
wasm-simd,wasm-simd-20260901-182909,wasm-simd-20260901-183348-fcb6497c,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
wasm-simd,wasm-simd-20260901-182909,wasm-simd-20260901-183422-44812ba4,ours_improved,4,1,0.25,1,0.25,1,1
wasm-simd,wasm-simd-20260901-182909,wasm-simd-20260901-183422-44812ba4,full_workspace_hash,4,4,1.0,4,1.0,4,2.5
wasm-simd,wasm-simd-20260901-182909,wasm-simd-20260901-183422-44812ba4,exact_history,4,0,0.0,0,0.0,0,0.0
wasm-simd,wasm-simd-20260901-182909,wasm-simd-20260901-183422-44812ba4,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
wasm-simd,wasm-simd-20260901-183348-fcb6497c,wasm-simd-20260901-182909,ours_improved,7,1,0.1429,1,0.1429,1,1
wasm-simd,wasm-simd-20260901-183348-fcb6497c,wasm-simd-20260901-182909,full_workspace_hash,7,1,0.1429,1,0.1429,1,1
wasm-simd,wasm-simd-20260901-183348-fcb6497c,wasm-simd-20260901-182909,exact_history,7,0,0.0,0,0.0,0,0.0
